timestamp_ms,datetime,state,reason
1764702123450,"2025-12-02 16:02:03","Falha nos sensores","Sem dados de IMU por > 1s"
1764702123612,"2025-12-02 16:02:03","Em trajeto","IMU recuperada"
1764702124618,"2025-12-02 16:02:04","Falha nos sensores","Sem dados de IMU por > 1s"
1764702125102,"2025-12-02 16:02:05","Em trajeto","IMU recuperada"
1764702126107,"2025-12-02 16:02:06","Falha nos sensores","Sem dados de IMU por > 1s"
1764702126852,"2025-12-02 16:02:06","Em trajeto","IMU recuperada"
1764702127862,"2025-12-02 16:02:07","Falha nos sensores","Sem dados de IMU por > 1s"
1764702128989,"2025-12-02 16:02:08","Em trajeto","IMU recuperada"
1764702139329,"2025-12-02 16:02:19","Falha nos sensores","Sem dados de IMU por > 1s"
1764702140196,"2025-12-02 16:02:20","Em trajeto","IMU recuperada"
1764702141848,"2025-12-02 16:02:21","Falha nos sensores","Sem dados de IMU por > 1s"
1764702142611,"2025-12-02 16:02:22","Em trajeto","IMU recuperada"
1764702143616,"2025-12-02 16:02:23","Falha nos sensores","Sem dados de IMU por > 1s"
1764702144962,"2025-12-02 16:02:24","Em trajeto","IMU recuperada"
1764702147768,"2025-12-02 16:02:27","Sistema ligado","Programa iniciado"
1764702152062,"2025-12-02 16:02:32","Teleop ativado","Modo inicial"
1764702153069,"2025-12-02 16:02:33","Falha nos sensores","Sem dados de IMU por > 1s"
1764702153471,"2025-12-02 16:02:33","Em trajeto","Visao recuperada"
1764702155300,"2025-12-02 16:02:35","Falha nos sensores","Sem dados de IMU por > 1s"
1764702158095,"2025-12-02 16:02:38","Em trajeto","IMU recuperada"
1764702159101,"2025-12-02 16:02:39","Falha nos sensores","Sem dados de IMU por > 1s"
1764702161874,"2025-12-02 16:02:41","Em trajeto","IMU recuperada"
1764702162880,"2025-12-02 16:02:42","Falha nos sensores","Sem dados de IMU por > 1s"
1764702164289,"2025-12-02 16:02:44","Em trajeto","IMU recuperada"
1764702165294,"2025-12-02 16:02:45","Falha nos sensores","Sem dados de IMU por > 1s"
1764702170964,"2025-12-02 16:02:50","Em trajeto","IMU recuperada"
1764702190102,"2025-12-02 16:03:10","Falha nos sensores","Sem dados de IMU por > 1s"
1764702190122,"2025-12-02 16:03:10","Em trajeto","IMU recuperada"
1764702191129,"2025-12-02 16:03:11","Falha nos sensores","Sem dados de IMU por > 1s"
1764702191451,"2025-12-02 16:03:11","Em trajeto","IMU recuperada"
1764702192456,"2025-12-02 16:03:12","Falha nos sensores","Sem dados de IMU por > 1s"
1764702194346,"2025-12-02 16:03:14","Em trajeto","IMU recuperada"
1764702195351,"2025-12-02 16:03:15","Falha nos sensores","Sem dados de IMU por > 1s"
1764702199714,"2025-12-02 16:03:19","Em trajeto","IMU recuperada"
1764702201543,"2025-12-02 16:03:21","Falha nos sensores","Sem dados de IMU por > 1s"
1764702203371,"2025-12-02 16:03:23","Em trajeto","IMU recuperada"
1764702204376,"2025-12-02 16:03:24","Falha nos sensores","Sem dados de IMU por > 1s"
1764702207651,"2025-12-02 16:03:27","Em trajeto","IMU recuperada"
1764702208655,"2025-12-02 16:03:28","Falha nos sensores","Sem dados de IMU por > 1s"
1764702210505,"2025-12-02 16:03:30","Em trajeto","IMU recuperada"
1764702211510,"2025-12-02 16:03:31","Falha nos sensores","Sem dados de IMU por > 1s"
1764702213700,"2025-12-02 16:03:33","Em trajeto","IMU recuperada"
1764702214707,"2025-12-02 16:03:34","Falha nos sensores","Sem dados de IMU por > 1s"
1764702216823,"2025-12-02 16:03:36","Em trajeto","IMU recuperada"
1764702217828,"2025-12-02 16:03:37","Falha nos sensores","Sem dados de IMU por > 1s"
1764702219979,"2025-12-02 16:03:39","Em trajeto","IMU recuperada"
1764702220984,"2025-12-02 16:03:40","Falha nos sensores","Sem dados de IMU por > 1s"
1764702223196,"2025-12-02 16:03:43","Em trajeto","IMU recuperada"
1764702224201,"2025-12-02 16:03:44","Falha nos sensores","Sem dados de IMU por > 1s"
1764702226472,"2025-12-02 16:03:46","Em trajeto","IMU recuperada"
1764702227478,"2025-12-02 16:03:47","Falha nos sensores","Sem dados de IMU por > 1s"
1764702229770,"2025-12-02 16:03:49","Em trajeto","IMU recuperada"
1764702230777,"2025-12-02 16:03:50","Falha nos sensores","Sem dados de IMU por > 1s"
1764702232890,"2025-12-02 16:03:52","Em trajeto","IMU recuperada"
1764702233897,"2025-12-02 16:03:53","Falha nos sensores","Sem dados de IMU por > 1s"
1764702236211,"2025-12-02 16:03:56","Em trajeto","IMU recuperada"
1764702237216,"2025-12-02 16:03:57","Falha nos sensores","Sem dados de IMU por > 1s"
1764702237819,"2025-12-02 16:03:57","Em trajeto","IMU recuperada"
1764702238826,"2025-12-02 16:03:58","Falha nos sensores","Sem dados de IMU por > 1s"
1764702239790,"2025-12-02 16:03:59","Em trajeto","IMU recuperada"
1764702240798,"2025-12-02 16:04:00","Falha nos sensores","Sem dados de IMU por > 1s"
1764702242508,"2025-12-02 16:04:02","Em trajeto","IMU recuperada"
1764702243512,"2025-12-02 16:04:03","Falha nos sensores","Sem dados de IMU por > 1s"
1764702245160,"2025-12-02 16:04:05","Em trajeto","IMU recuperada"
1764702246167,"2025-12-02 16:04:06","Falha nos sensores","Sem dados de IMU por > 1s"
1764702248097,"2025-12-02 16:04:08","Em trajeto","IMU recuperada"
1764702249106,"2025-12-02 16:04:09","Falha nos sensores","Sem dados de IMU por > 1s"
